data_as_of,death_year,death_month,jurisdiction_occurrence,drug_involved,time_period,month_ending_date,drug_overdose_deaths,footnote
01/05/2025,2019,7,United States,Xylazine,12 month-ending,07/31/2019,607,
01/05/2025,2019,8,United States,Cocaine,12 month-ending,08/31/2019,"15,822",
01/05/2025,2019,8,United States,Fentanyl,12 month-ending,08/31/2019,"32,383",
01/05/2025,2019,8,United States,Gabapentin,12 month-ending,08/31/2019,"2,153",
01/05/2025,2019,8,United States,Heroin,12 month-ending,08/31/2019,"14,831",
01/05/2025,2019,8,United States,Methamphetamine,12 month-ending,08/31/2019,"13,756",
01/05/2025,2019,8,United States,Oxycodone,12 month-ending,08/31/2019,"4,636",
01/05/2025,2019,8,United States,Xylazine,12 month-ending,08/31/2019,653,
01/05/2025,2019,9,United States,Cocaine,12 month-ending,09/30/2019,"16,018",
01/05/2025,2019,9,United States,Fentanyl,12 month-ending,09/30/2019,"32,943",
01/05/2025,2019,9,United States,Gabapentin,12 month-ending,09/30/2019,"2,218",
01/05/2025,2019,9,United States,Heroin,12 month-ending,09/30/2019,"14,705",
01/05/2025,2019,9,United States,Methamphetamine,12 month-ending,09/30/2019,"14,095",
01/05/2025,2019,9,United States,Oxycodone,12 month-ending,09/30/2019,"4,621",
01/05/2025,2019,9,United States,Xylazine,12 month-ending,09/30/2019,704,
01/05/2025,2019,10,United States,Cocaine,12 month-ending,10/31/2019,"16,296",
01/05/2025,2019,10,United States,Fentanyl,12 month-ending,10/31/2019,"33,641",
01/05/2025,2019,10,United States,Gabapentin,12 month-ending,10/31/2019,"2,354",
01/05/2025,2019,10,United States,Heroin,12 month-ending,10/31/2019,"14,602",
01/05/2025,2019,10,United States,Methamphetamine,12 month-ending,10/31/2019,"14,473",
01/05/2025,2019,10,United States,Oxycodone,12 month-ending,10/31/2019,"4,619",
01/05/2025,2019,10,United States,Xylazine,12 month-ending,10/31/2019,749,
01/05/2025,2019,11,United States,Cocaine,12 month-ending,11/30/2019,"16,679",
01/05/2025,2019,11,United States,Fentanyl,12 month-ending,11/30/2019,"34,549",
01/05/2025,2019,11,United States,Gabapentin,12 month-ending,11/30/2019,"2,496",
01/05/2025,2019,11,United States,Heroin,12 month-ending,11/30/2019,"14,658",
01/05/2025,2019,11,United States,Methamphetamine,12 month-ending,11/30/2019,"14,810",
01/05/2025,2019,11,United States,Oxycodone,12 month-ending,11/30/2019,"4,650",
01/05/2025,2019,11,United States,Xylazine,12 month-ending,11/30/2019,823,
01/05/2025,2019,12,United States,Cocaine,12 month-ending,12/31/2019,"16,997",
01/05/2025,2019,12,United States,Fentanyl,12 month-ending,12/31/2019,"35,473",
01/05/2025,2019,12,United States,Gabapentin,12 month-ending,12/31/2019,"2,579",
01/05/2025,2019,12,United States,Heroin,12 month-ending,12/31/2019,"14,525",
01/05/2025,2019,12,United States,Methamphetamine,12 month-ending,12/31/2019,"15,096",
01/05/2025,2019,12,United States,Oxycodone,12 month-ending,12/31/2019,"4,630",
01/05/2025,2019,12,United States,Xylazine,12 month-ending,12/31/2019,870,
01/05/2025,2020,1,United States,Cocaine,12 month-ending,01/31/2020,"17,356",
01/05/2025,2020,1,United States,Fentanyl,12 month-ending,01/31/2020,"36,420",
01/05/2025,2020,1,United States,Gabapentin,12 month-ending,01/31/2020,"2,713",
01/05/2025,2020,1,United States,Heroin,12 month-ending,01/31/2020,"14,456",
01/05/2025,2020,1,United States,Methamphetamine,12 month-ending,01/31/2020,"15,370",
01/05/2025,2020,1,United States,Oxycodone,12 month-ending,01/31/2020,"4,679",
01/05/2025,2020,1,United States,Xylazine,12 month-ending,01/31/2020,923,
01/05/2025,2020,2,United States,Cocaine,12 month-ending,02/29/2020,"17,784",
01/05/2025,2020,2,United States,Fentanyl,12 month-ending,02/29/2020,"37,554",
01/05/2025,2020,2,United States,Gabapentin,12 month-ending,02/29/2020,"2,851",
01/05/2025,2020,2,United States,Heroin,12 month-ending,02/29/2020,"14,420",
01/05/2025,2020,2,United States,Methamphetamine,12 month-ending,02/29/2020,"15,790",
01/05/2025,2020,2,United States,Oxycodone,12 month-ending,02/29/2020,"4,690",
01/05/2025,2020,2,United States,Xylazine,12 month-ending,02/29/2020,"1,009",
01/05/2025,2020,3,United States,Cocaine,12 month-ending,03/31/2020,"18,256",
01/05/2025,2020,3,United States,Fentanyl,12 month-ending,03/31/2020,"38,829",
01/05/2025,2020,3,United States,Gabapentin,12 month-ending,03/31/2020,"3,007",
01/05/2025,2020,3,United States,Heroin,12 month-ending,03/31/2020,"14,349",
01/05/2025,2020,3,United States,Methamphetamine,12 month-ending,03/31/2020,"16,307",
01/05/2025,2020,3,United States,Oxycodone,12 month-ending,03/31/2020,"4,728",
01/05/2025,2020,3,United States,Xylazine,12 month-ending,03/31/2020,"1,051",
01/05/2025,2020,4,United States,Cocaine,12 month-ending,04/30/2020,"18,963",
01/05/2025,2020,4,United States,Fentanyl,12 month-ending,04/30/2020,"40,948",
01/05/2025,2020,4,United States,Gabapentin,12 month-ending,04/30/2020,"3,230",
01/05/2025,2020,4,United States,Heroin,12 month-ending,04/30/2020,"14,470",
01/05/2025,2020,4,United States,Methamphetamine,12 month-ending,04/30/2020,"17,050",
01/05/2025,2020,4,United States,Oxycodone,12 month-ending,04/30/2020,"4,750",
01/05/2025,2020,4,United States,Xylazine,12 month-ending,04/30/2020,"1,109",
01/05/2025,2020,5,United States,Cocaine,12 month-ending,05/31/2020,"19,820",
01/05/2025,2020,5,United States,Fentanyl,12 month-ending,05/31/2020,"44,246",
01/05/2025,2020,5,United States,Gabapentin,12 month-ending,05/31/2020,"3,460",
01/05/2025,2020,5,United States,Heroin,12 month-ending,05/31/2020,"14,792",
01/05/2025,2020,5,United States,Methamphetamine,12 month-ending,05/31/2020,"17,920",
01/05/2025,2020,5,United States,Oxycodone,12 month-ending,05/31/2020,"4,908",
01/05/2025,2020,5,United States,Xylazine,12 month-ending,05/31/2020,"1,220",
01/05/2025,2020,6,United States,Cocaine,12 month-ending,06/30/2020,"20,292",
01/05/2025,2020,6,United States,Fentanyl,12 month-ending,06/30/2020,"46,541",
01/05/2025,2020,6,United States,Gabapentin,12 month-ending,06/30/2020,"3,550",
01/05/2025,2020,6,United States,Heroin,12 month-ending,06/30/2020,"14,820",
01/05/2025,2020,6,United States,Methamphetamine,12 month-ending,06/30/2020,"18,590",
01/05/2025,2020,6,United States,Oxycodone,12 month-ending,06/30/2020,"4,951",
01/05/2025,2020,6,United States,Xylazine,12 month-ending,06/30/2020,"1,308",
01/05/2025,2020,7,United States,Cocaine,12 month-ending,07/31/2020,"20,630",
01/05/2025,2020,7,United States,Fentanyl,12 month-ending,07/31/2020,"48,580",
01/05/2025,2020,7,United States,Gabapentin,12 month-ending,07/31/2020,"3,690",
01/05/2025,2020,7,United States,Heroin,12 month-ending,07/31/2020,"14,783",
01/05/2025,2020,7,United States,Methamphetamine,12 month-ending,07/31/2020,"19,310",
01/05/2025,2020,7,United States,Oxycodone,12 month-ending,07/31/2020,"4,992",
01/05/2025,2020,7,United States,Xylazine,12 month-ending,07/31/2020,"1,365",
01/05/2025,2020,8,United States,Cocaine,12 month-ending,08/31/2020,"20,812",
01/05/2025,2020,8,United States,Fentanyl,12 month-ending,08/31/2020,"50,413",
01/05/2025,2020,8,United States,Gabapentin,12 month-ending,08/31/2020,"3,811",
01/05/2025,2020,8,United States,Heroin,12 month-ending,08/31/2020,"14,649",
01/05/2025,2020,8,United States,Methamphetamine,12 month-ending,08/31/2020,"20,279",
01/05/2025,2020,8,United States,Oxycodone,12 month-ending,08/31/2020,"5,076",
01/05/2025,2020,8,United States,Xylazine,12 month-ending,08/31/2020,"1,426",
01/05/2025,2020,9,United States,Cocaine,12 month-ending,09/30/2020,"21,036",
01/05/2025,2020,9,United States,Fentanyl,12 month-ending,09/30/2020,"51,998",
01/05/2025,2020,9,United States,Gabapentin,12 month-ending,09/30/2020,"3,855",
01/05/2025,2020,9,United States,Heroin,12 month-ending,09/30/2020,"14,497",
01/05/2025,2020,9,United States,Methamphetamine,12 month-ending,09/30/2020,"20,812",
01/05/2025,2020,9,United States,Oxycodone,12 month-ending,09/30/2020,"5,083",
01/05/2025,2020,9,United States,Xylazine,12 month-ending,09/30/2020,"1,480",
01/05/2025,2020,10,United States,Cocaine,12 month-ending,10/31/2020,"21,063",
01/05/2025,2020,10,United States,Fentanyl,12 month-ending,10/31/2020,"53,287",
01/05/2025,2020,10,United States,Gabapentin,12 month-ending,10/31/2020,"3,874",
01/05/2025,2020,10,United States,Heroin,12 month-ending,10/31/2020,"14,209",
01/05/2025,2020,10,United States,Methamphetamine,12 month-ending,10/31/2020,"21,250",
01/05/2025,2020,10,United States,Oxycodone,12 month-ending,10/31/2020,"5,109",
01/05/2025,2020,10,United States,Xylazine,12 month-ending,10/31/2020,"1,553",
01/05/2025,2020,11,United States,Cocaine,12 month-ending,11/30/2020,"21,056",
01/05/2025,2020,11,United States,Fentanyl,12 month-ending,11/30/2020,"54,544",
01/05/2025,2020,11,United States,Gabapentin,12 month-ending,11/30/2020,"3,885",
01/05/2025,2020,11,United States,Heroin,12 month-ending,11/30/2020,"13,897",
01/05/2025,2020,11,United States,Methamphetamine,12 month-ending,11/30/2020,"21,869",
01/05/2025,2020,11,United States,Oxycodone,12 month-ending,11/30/2020,"5,114",
01/05/2025,2020,11,United States,Xylazine,12 month-ending,11/30/2020,"1,641",
01/05/2025,2020,12,United States,Cocaine,12 month-ending,12/31/2020,"21,079",
01/05/2025,2020,12,United States,Fentanyl,12 month-ending,12/31/2020,"55,821",
01/05/2025,2020,12,United States,Gabapentin,12 month-ending,12/31/2020,"3,941",
01/05/2025,2020,12,United States,Heroin,12 month-ending,12/31/2020,"13,643",
01/05/2025,2020,12,United States,Methamphetamine,12 month-ending,12/31/2020,"22,559",
01/05/2025,2020,12,United States,Oxycodone,12 month-ending,12/31/2020,"5,124",
01/05/2025,2020,12,United States,Xylazine,12 month-ending,12/31/2020,"1,760",
01/05/2025,2021,1,United States,Cocaine,12 month-ending,01/31/2021,"21,473",
01/05/2025,2021,1,United States,Fentanyl,12 month-ending,01/31/2021,"57,891",
01/05/2025,2021,1,United States,Gabapentin,12 month-ending,01/31/2021,"4,008",
01/05/2025,2021,1,United States,Heroin,12 month-ending,01/31/2021,"13,480",
01/05/2025,2021,1,United States,Methamphetamine,12 month-ending,01/31/2021,"23,561",
01/05/2025,2021,1,United States,Oxycodone,12 month-ending,01/31/2021,"5,105",
01/05/2025,2021,1,United States,Xylazine,12 month-ending,01/31/2021,"1,920",
01/05/2025,2021,2,United States,Cocaine,12 month-ending,02/28/2021,"21,581",
01/05/2025,2021,2,United States,Fentanyl,12 month-ending,02/28/2021,"59,147",
01/05/2025,2021,2,United States,Gabapentin,12 month-ending,02/28/2021,"4,035",
01/05/2025,2021,2,United States,Heroin,12 month-ending,02/28/2021,"13,132",
01/05/2025,2021,2,United States,Methamphetamine,12 month-ending,02/28/2021,"24,307",
01/05/2025,2021,2,United States,Oxycodone,12 month-ending,02/28/2021,"5,150",
01/05/2025,2021,2,United States,Xylazine,12 month-ending,02/28/2021,"2,065",
01/05/2025,2021,3,United States,Cocaine,12 month-ending,03/31/2021,"22,027",
01/05/2025,2021,3,United States,Fentanyl,12 month-ending,03/31/2021,"61,240",
01/05/2025,2021,3,United States,Gabapentin,12 month-ending,03/31/2021,"4,086",
01/05/2025,2021,3,United States,Heroin,12 month-ending,03/31/2021,"12,905",
01/05/2025,2021,3,United States,Methamphetamine,12 month-ending,03/31/2021,"25,282",
01/05/2025,2021,3,United States,Oxycodone,12 month-ending,03/31/2021,"5,175",
01/05/2025,2021,3,United States,Xylazine,12 month-ending,03/31/2021,"2,247",
01/05/2025,2021,4,United States,Cocaine,12 month-ending,04/30/2021,"22,367",
01/05/2025,2021,4,United States,Fentanyl,12 month-ending,04/30/2021,"62,669",
01/05/2025,2021,4,United States,Gabapentin,12 month-ending,04/30/2021,"4,098",
01/05/2025,2021,4,United States,Heroin,12 month-ending,04/30/2021,"12,528",
01/05/2025,2021,4,United States,Methamphetamine,12 month-ending,04/30/2021,"26,163",
01/05/2025,2021,4,United States,Oxycodone,12 month-ending,04/30/2021,"5,229",
01/05/2025,2021,4,United States,Xylazine,12 month-ending,04/30/2021,"2,410",
01/05/2025,2021,5,United States,Cocaine,12 month-ending,05/31/2021,"22,364",
01/05/2025,2021,5,United States,Fentanyl,12 month-ending,05/31/2021,"62,741",
01/05/2025,2021,5,United States,Gabapentin,12 month-ending,05/31/2021,"4,071",
01/05/2025,2021,5,United States,Heroin,12 month-ending,05/31/2021,"11,816",
01/05/2025,2021,5,United States,Methamphetamine,12 month-ending,05/31/2021,"26,809",
01/05/2025,2021,5,United States,Oxycodone,12 month-ending,05/31/2021,"5,148",
01/05/2025,2021,5,United States,Xylazine,12 month-ending,05/31/2021,"2,580",
01/05/2025,2021,6,United States,Cocaine,12 month-ending,06/30/2021,"22,702",
01/05/2025,2021,6,United States,Fentanyl,12 month-ending,06/30/2021,"63,579",
01/05/2025,2021,6,United States,Gabapentin,12 month-ending,06/30/2021,"4,117",
01/05/2025,2021,6,United States,Heroin,12 month-ending,06/30/2021,"11,345",
01/05/2025,2021,6,United States,Methamphetamine,12 month-ending,06/30/2021,"27,579",
01/05/2025,2021,6,United States,Oxycodone,12 month-ending,06/30/2021,"5,143",
01/05/2025,2021,6,United States,Xylazine,12 month-ending,06/30/2021,"2,759",
01/05/2025,2021,7,United States,Cocaine,12 month-ending,07/31/2021,"23,185",
01/05/2025,2021,7,United States,Fentanyl,12 month-ending,07/31/2021,"64,572",
01/05/2025,2021,7,United States,Gabapentin,12 month-ending,07/31/2021,"4,120",
01/05/2025,2021,7,United States,Heroin,12 month-ending,07/31/2021,"10,980",
01/05/2025,2021,7,United States,Methamphetamine,12 month-ending,07/31/2021,"28,294",
01/05/2025,2021,7,United States,Oxycodone,12 month-ending,07/31/2021,"5,128",
01/05/2025,2021,7,United States,Xylazine,12 month-ending,07/31/2021,"2,939",
01/05/2025,2021,8,United States,Cocaine,12 month-ending,08/31/2021,"23,821",
01/05/2025,2021,8,United States,Fentanyl,12 month-ending,08/31/2021,"65,745",
01/05/2025,2021,8,United States,Gabapentin,12 month-ending,08/31/2021,"4,137",
01/05/2025,2021,8,United States,Heroin,12 month-ending,08/31/2021,"10,648",
01/05/2025,2021,8,United States,Methamphetamine,12 month-ending,08/31/2021,"28,826",
01/05/2025,2021,8,United States,Oxycodone,12 month-ending,08/31/2021,"5,143",
01/05/2025,2021,8,United States,Xylazine,12 month-ending,08/31/2021,"3,134",
01/05/2025,2021,9,United States,Cocaine,12 month-ending,09/30/2021,"24,417",
01/05/2025,2021,9,United States,Fentanyl,12 month-ending,09/30/2021,"67,070",
01/05/2025,2021,9,United States,Gabapentin,12 month-ending,09/30/2021,"4,195",
01/05/2025,2021,9,United States,Heroin,12 month-ending,09/30/2021,"10,374",
01/05/2025,2021,9,United States,Methamphetamine,12 month-ending,09/30/2021,"29,614",
01/05/2025,2021,9,United States,Oxycodone,12 month-ending,09/30/2021,"5,163",
01/05/2025,2021,9,United States,Xylazine,12 month-ending,09/30/2021,"3,333",
01/05/2025,2021,10,United States,Cocaine,12 month-ending,10/31/2021,"25,099",
01/05/2025,2021,10,United States,Fentanyl,12 month-ending,10/31/2021,"68,408",
01/05/2025,2021,10,United States,Gabapentin,12 month-ending,10/31/2021,"4,240",
01/05/2025,2021,10,United States,Heroin,12 month-ending,10/31/2021,"10,168",
01/05/2025,2021,10,United States,Methamphetamine,12 month-ending,10/31/2021,"30,404",
01/05/2025,2021,10,United States,Oxycodone,12 month-ending,10/31/2021,"5,124",
01/05/2025,2021,10,United States,Xylazine,12 month-ending,10/31/2021,"3,513",
01/05/2025,2021,11,United States,Cocaine,12 month-ending,11/30/2021,"25,725",
01/05/2025,2021,11,United States,Fentanyl,12 month-ending,11/30/2021,"69,386",
01/05/2025,2021,11,United States,Gabapentin,12 month-ending,11/30/2021,"4,280",
01/05/2025,2021,11,United States,Heroin,12 month-ending,11/30/2021,"9,833",
01/05/2025,2021,11,United States,Methamphetamine,12 month-ending,11/30/2021,"30,949",
01/05/2025,2021,11,United States,Oxycodone,12 month-ending,11/30/2021,"5,094",
01/05/2025,2021,11,United States,Xylazine,12 month-ending,11/30/2021,"3,638",
01/05/2025,2021,12,United States,Cocaine,12 month-ending,12/31/2021,"26,416",
01/05/2025,2021,12,United States,Fentanyl,12 month-ending,12/31/2021,"70,521",
01/05/2025,2021,12,United States,Gabapentin,12 month-ending,12/31/2021,"4,318",
01/05/2025,2021,12,United States,Heroin,12 month-ending,12/31/2021,"9,504",
01/05/2025,2021,12,United States,Methamphetamine,12 month-ending,12/31/2021,"31,461",
01/05/2025,2021,12,United States,Oxycodone,12 month-ending,12/31/2021,"5,090",
01/05/2025,2021,12,United States,Xylazine,12 month-ending,12/31/2021,"3,792",
01/05/2025,2022,1,United States,Cocaine,12 month-ending,01/31/2022,"26,741",
01/05/2025,2022,1,United States,Fentanyl,12 month-ending,01/31/2022,"70,897",
01/05/2025,2022,1,United States,Gabapentin,12 month-ending,01/31/2022,"4,295",
01/05/2025,2022,1,United States,Heroin,12 month-ending,01/31/2022,"9,163",
01/05/2025,2022,1,United States,Methamphetamine,12 month-ending,01/31/2022,"31,726",
01/05/2025,2022,1,United States,Oxycodone,12 month-ending,01/31/2022,"5,035",
01/05/2025,2022,1,United States,Xylazine,12 month-ending,01/31/2022,"3,936",
01/05/2025,2022,2,United States,Cocaine,12 month-ending,02/28/2022,"27,254",
01/05/2025,2022,2,United States,Fentanyl,12 month-ending,02/28/2022,"71,853",
01/05/2025,2022,2,United States,Gabapentin,12 month-ending,02/28/2022,"4,301",
01/05/2025,2022,2,United States,Heroin,12 month-ending,02/28/2022,"8,938",
01/05/2025,2022,2,United States,Methamphetamine,12 month-ending,02/28/2022,"32,151",
01/05/2025,2022,2,United States,Oxycodone,12 month-ending,02/28/2022,"4,997",
01/05/2025,2022,2,United States,Xylazine,12 month-ending,02/28/2022,"4,012",
01/05/2025,2022,3,United States,Cocaine,12 month-ending,03/31/2022,"27,412",
01/05/2025,2022,3,United States,Fentanyl,12 month-ending,03/31/2022,"71,919",
01/05/2025,2022,3,United States,Gabapentin,12 month-ending,03/31/2022,"4,295",
01/05/2025,2022,3,United States,Heroin,12 month-ending,03/31/2022,"8,502",
01/05/2025,2022,3,United States,Methamphetamine,12 month-ending,03/31/2022,"32,281",
01/05/2025,2022,3,United States,Oxycodone,12 month-ending,03/31/2022,"4,949",
01/05/2025,2022,3,United States,Xylazine,12 month-ending,03/31/2022,"4,139",
01/05/2025,2022,4,United States,Cocaine,12 month-ending,04/30/2022,"27,401",
01/05/2025,2022,4,United States,Fentanyl,12 month-ending,04/30/2022,"71,572",
01/05/2025,2022,4,United States,Gabapentin,12 month-ending,04/30/2022,"4,244",
01/05/2025,2022,4,United States,Heroin,12 month-ending,04/30/2022,"8,081",
01/05/2025,2022,4,United States,Methamphetamine,12 month-ending,04/30/2022,"32,019",
01/05/2025,2022,4,United States,Oxycodone,12 month-ending,04/30/2022,"4,847",
01/05/2025,2022,4,United States,Xylazine,12 month-ending,04/30/2022,"4,280",
01/05/2025,2022,5,United States,Cocaine,12 month-ending,05/31/2022,"27,535",
01/05/2025,2022,5,United States,Fentanyl,12 month-ending,05/31/2022,"71,424",
01/05/2025,2022,5,United States,Gabapentin,12 month-ending,05/31/2022,"4,239",
01/05/2025,2022,5,United States,Heroin,12 month-ending,05/31/2022,"7,729",
01/05/2025,2022,5,United States,Methamphetamine,12 month-ending,05/31/2022,"31,961",
01/05/2025,2022,5,United States,Oxycodone,12 month-ending,05/31/2022,"4,761",
01/05/2025,2022,5,United States,Xylazine,12 month-ending,05/31/2022,"4,371",
01/05/2025,2022,6,United States,Cocaine,12 month-ending,06/30/2022,"27,693",
01/05/2025,2022,6,United States,Fentanyl,12 month-ending,06/30/2022,"71,407",
01/05/2025,2022,6,United States,Gabapentin,12 month-ending,06/30/2022,"4,256",
01/05/2025,2022,6,United States,Heroin,12 month-ending,06/30/2022,"7,465",
01/05/2025,2022,6,United States,Methamphetamine,12 month-ending,06/30/2022,"32,098",
01/05/2025,2022,6,United States,Oxycodone,12 month-ending,06/30/2022,"4,694",
01/05/2025,2022,6,United States,Xylazine,12 month-ending,06/30/2022,"4,417",
01/05/2025,2022,7,United States,Cocaine,12 month-ending,07/31/2022,"27,864",
01/05/2025,2022,7,United States,Fentanyl,12 month-ending,07/31/2022,"71,671",
01/05/2025,2022,7,United States,Gabapentin,12 month-ending,07/31/2022,"4,235",
01/05/2025,2022,7,United States,Heroin,12 month-ending,07/31/2022,"7,131",
01/05/2025,2022,7,United States,Methamphetamine,12 month-ending,07/31/2022,"32,318",
01/05/2025,2022,7,United States,Oxycodone,12 month-ending,07/31/2022,"4,688",
01/05/2025,2022,7,United States,Xylazine,12 month-ending,07/31/2022,"4,487",
01/05/2025,2022,8,United States,Cocaine,12 month-ending,08/31/2022,"28,036",
01/05/2025,2022,8,United States,Fentanyl,12 month-ending,08/31/2022,"71,858",
01/05/2025,2022,8,United States,Gabapentin,12 month-ending,08/31/2022,"4,242",
01/05/2025,2022,8,United States,Heroin,12 month-ending,08/31/2022,"6,829",
01/05/2025,2022,8,United States,Methamphetamine,12 month-ending,08/31/2022,"32,276",
01/05/2025,2022,8,United States,Oxycodone,12 month-ending,08/31/2022,"4,569",
01/05/2025,2022,8,United States,Xylazine,12 month-ending,08/31/2022,"4,554",
01/05/2025,2022,9,United States,Cocaine,12 month-ending,09/30/2022,"28,260",
01/05/2025,2022,9,United States,Fentanyl,12 month-ending,09/30/2022,"71,894",
01/05/2025,2022,9,United States,Gabapentin,12 month-ending,09/30/2022,"4,275",
01/05/2025,2022,9,United States,Heroin,12 month-ending,09/30/2022,"6,566",
01/05/2025,2022,9,United States,Methamphetamine,12 month-ending,09/30/2022,"32,333",
01/05/2025,2022,9,United States,Oxycodone,12 month-ending,09/30/2022,"4,537",
01/05/2025,2022,9,United States,Xylazine,12 month-ending,09/30/2022,"4,563",
01/05/2025,2022,10,United States,Cocaine,12 month-ending,10/31/2022,"28,581",
01/05/2025,2022,10,United States,Fentanyl,12 month-ending,10/31/2022,"72,457",
01/05/2025,2022,10,United States,Gabapentin,12 month-ending,10/31/2022,"4,314",
01/05/2025,2022,10,United States,Heroin,12 month-ending,10/31/2022,"6,306",
01/05/2025,2022,10,United States,Methamphetamine,12 month-ending,10/31/2022,"32,502",
01/05/2025,2022,10,United States,Oxycodone,12 month-ending,10/31/2022,"4,539",
01/05/2025,2022,10,United States,Xylazine,12 month-ending,10/31/2022,"4,640",
01/05/2025,2022,11,United States,Cocaine,12 month-ending,11/30/2022,"28,909",
01/05/2025,2022,11,United States,Fentanyl,12 month-ending,11/30/2022,"73,083",
01/05/2025,2022,11,United States,Gabapentin,12 month-ending,11/30/2022,"4,332",
01/05/2025,2022,11,United States,Heroin,12 month-ending,11/30/2022,"6,124",
01/05/2025,2022,11,United States,Methamphetamine,12 month-ending,11/30/2022,"32,756",
01/05/2025,2022,11,United States,Oxycodone,12 month-ending,11/30/2022,"4,514",
01/05/2025,2022,11,United States,Xylazine,12 month-ending,11/30/2022,"4,730",
01/05/2025,2022,12,United States,Cocaine,12 month-ending,12/31/2022,"29,340",
01/05/2025,2022,12,United States,Fentanyl,12 month-ending,12/31/2022,"73,820",
01/05/2025,2022,12,United States,Gabapentin,12 month-ending,12/31/2022,"4,348",
01/05/2025,2022,12,United States,Heroin,12 month-ending,12/31/2022,"5,976",
01/05/2025,2022,12,United States,Methamphetamine,12 month-ending,12/31/2022,"33,278",
